Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,18.480007,19.080008,17.880007,18.960007,18.960007,3078700
2015-01-05,18.840008,19.080008,18.000008,18.360008,18.360008,3063900
2015-01-06,18.240007,18.480007,16.920008,17.400007,17.400007,5368200
2015-01-07,17.400007,17.760008,16.920008,17.280006,17.280006,2692300
2015-01-08,17.400007,17.760008,17.160007,17.640007,17.640007,1929600
2015-01-09,17.760008,17.760008,17.160007,17.160007,17.160007,2042700
2015-01-12,17.040007,17.520006,16.320007,16.800007,16.800007,3759300
2015-01-13,16.800007,17.160007,15.960007,16.320007,16.320007,2731200
2015-01-14,15.960007,16.200006,14.640006,15.000006,15.000006,8273000
2015-01-15,15.480006,15.600006,12.600005,13.200006,13.200006,11407900
2015-01-16,13.680005,13.800006,12.720005,13.680005,13.680005,5574700
2015-01-20,14.040006,14.160006,12.960005,13.080006,13.080006,5102500
2015-01-21,13.080006,13.680005,13.080006,13.440005,13.440005,3100200
2015-01-22,13.560005,13.920006,12.960005,13.440005,13.440005,6410100
2015-01-23,13.680005,13.680005,13.200006,13.440005,13.440005,2177500
2015-01-26,13.920006,15.480006,13.800006,15.240006,15.240006,7398700
2015-01-27,15.240006,16.560007,14.880006,16.080006,16.080006,5974900
2015-01-28,16.320007,16.320007,14.640006,14.880006,14.880006,5918300
2015-01-29,14.880006,15.120006,14.040006,14.880006,14.880006,3027600
2015-01-30,14.640006,15.120006,14.400005,14.400005,14.400005,2212700
2015-02-02,14.400005,14.640006,13.680005,14.160006,14.160006,3540000
2015-02-03,14.280005,15.120006,14.280005,15.120006,15.120006,3256500
2015-02-04,14.760006,15.120006,14.640006,14.760006,14.760006,1530700
2015-02-05,14.880006,15.120006,14.760006,15.000006,15.000006,1631200
2015-02-06,15.000006,15.240006,14.760006,14.880006,14.880006,1935300
2015-02-09,14.880006,15.120006,14.760006,14.880006,14.880006,1723000
2015-02-10,15.000006,15.240006,14.880006,15.240006,15.240006,2760600
2015-02-11,15.600006,16.800007,15.600006,15.960007,15.960007,8425900
2015-02-12,16.440006,16.800007,15.600006,15.720006,15.720006,3693800
2015-02-13,16.320007,16.320007,15.360006,15.720006,15.720006,2382600
2015-02-17,15.600006,15.720006,15.240006,15.480006,15.480006,1925600
2015-02-18,15.360006,15.600006,15.240006,15.240006,15.240006,1614200
2015-02-19,15.240006,15.840006,15.120006,15.480006,15.480006,2299600
2015-02-20,15.480006,16.080006,15.360006,15.960007,15.960007,2225400
2015-02-23,16.200006,16.320007,15.720006,15.720006,15.720006,3336100
2015-02-24,15.720006,15.960007,15.480006,15.720006,15.720006,2168300
2015-02-25,15.600006,15.840006,15.120006,15.240006,15.240006,2440100
2015-02-26,15.000006,15.240006,14.880006,15.000006,15.000006,1998600
2015-02-27,15.000006,15.960007,15.000006,15.720006,15.720006,2928600
2015-03-02,15.720006,15.960007,15.360006,15.960007,15.960007,4406400
2015-03-03,15.840006,15.840006,15.360006,15.360006,15.360006,2718000
2015-03-04,15.360006,15.600006,15.120006,15.360006,15.360006,2259800
2015-03-05,15.480006,15.960007,15.360006,15.840006,15.840006,6009700
2015-03-06,15.840006,17.400007,15.720006,16.920008,16.920008,12343900
2015-03-09,17.280006,17.280006,15.360006,15.600006,15.600006,6226000
2015-03-10,15.600006,15.840006,15.240006,15.360006,15.360006,4767900
2015-03-11,15.720006,16.680006,15.240006,15.720006,15.720006,5132300
2015-03-12,15.960007,15.960007,15.240006,15.360006,15.360006,3190600
2015-03-13,15.360006,15.600006,14.760006,14.880006,14.880006,5441700
2015-03-16,15.000006,15.600006,14.520006,15.360006,15.360006,5713900
2015-03-17,15.000006,15.240006,14.520006,14.640006,14.640006,2624700
2015-03-18,14.880006,15.120006,14.640006,14.880006,14.880006,1693000
2015-03-19,15.120006,16.200006,14.880006,15.720006,15.720006,5354000
2015-03-20,15.720006,16.080006,15.120006,15.600006,15.600006,3652800
2015-03-23,15.480006,15.840006,15.360006,15.720006,15.720006,1814300
2015-03-24,15.600006,15.720006,15.360006,15.480006,15.480006,1541400
2015-03-25,15.480006,15.600006,14.760006,14.880006,14.880006,4975500
2015-03-26,15.120006,15.240006,14.760006,14.880006,14.880006,2490200
2015-03-27,15.000006,15.120006,14.520006,14.880006,14.880006,3322800
2015-03-30,14.880006,15.000006,14.280005,14.760006,14.760006,4697100
2015-03-31,14.760006,15.120006,14.640006,15.000006,15.000006,2823600
2015-04-01,14.760006,15.000006,14.520006,15.000006,15.000006,2060400
2015-04-02,15.000006,15.480006,14.760006,15.240006,15.240006,4263500
2015-04-06,15.480006,16.200006,15.240006,15.960007,15.960007,4038000
2015-04-07,16.200006,16.320007,15.360006,15.480006,15.480006,2327200
2015-04-08,15.600006,15.840006,15.480006,15.720006,15.720006,1967600
2015-04-09,15.600006,15.840006,15.360006,15.600006,15.600006,1830500
2015-04-10,15.720006,15.840006,15.240006,15.360006,15.360006,1980800
2015-04-13,15.600006,15.720006,15.360006,15.360006,15.360006,2368800
2015-04-14,15.480006,15.840006,15.480006,15.480006,15.480006,1495800
2015-04-15,15.600000,15.720000,15.240000,15.360000,15.360000,180600
2015-04-16,15.360000,15.480000,15.000000,15.120000,15.120000,135700
2015-04-17,15.360006,15.840006,15.240006,15.360006,15.360006,4010500
2015-04-20,15.840006,16.080006,15.360006,15.960007,15.960007,8547100
2015-04-21,16.200001,16.200001,15.720000,15.720000,15.720000,203600
2015-04-22,15.840006,16.080006,15.360006,15.600006,15.600006,5948600
2015-04-23,15.600006,15.720006,15.480006,15.720006,15.720006,1419300
2015-04-24,15.720006,15.840006,15.600006,15.600006,15.600006,1078800
2015-04-27,15.600006,15.720006,15.360006,15.480006,15.480006,1677200
2015-04-28,15.360006,15.600006,15.120006,15.240006,15.240006,3796800
2015-04-29,15.120006,15.360006,15.000006,15.120006,15.120006,1694300
2015-04-30,15.120006,15.240006,14.640006,14.760006,14.760006,3316700
2015-05-01,14.640006,14.880006,14.640006,14.880006,14.880006,2023800
2015-05-04,14.880006,14.880006,14.640006,14.640006,14.640006,1484700
2015-05-05,15.000006,15.720006,15.000006,15.000006,15.000006,3828500
2015-05-06,14.880006,15.120006,14.640006,14.880006,14.880006,2600900
2015-05-07,14.760006,15.240006,14.640006,14.760006,14.760006,4104100
2015-05-08,14.760006,14.880006,14.520006,14.520006,14.520006,2535000
2015-05-11,14.520006,15.000006,14.520006,14.880006,14.880006,2121700
2015-05-12,14.880006,15.240006,14.640006,15.000006,15.000006,3302800
2015-05-13,15.000006,15.240006,14.880006,14.880006,14.880006,4464000
2015-05-14,15.120006,15.360006,15.000006,15.120006,15.120006,4914800
2015-05-15,15.120006,15.240006,14.640006,14.760006,14.760006,2825200
2015-05-18,14.880006,14.880006,14.520006,14.640006,14.640006,2035200
2015-05-19,14.640006,14.760006,14.400005,14.400005,14.400005,2153100
2015-05-20,14.400005,14.520006,13.920006,13.920006,13.920006,3341600
2015-05-21,13.800006,14.160006,13.800006,14.160006,14.160006,2717400
2015-05-22,14.280005,14.280005,13.920006,14.040006,14.040006,2020900
2015-05-26,13.920006,13.920006,13.440005,13.680005,13.680005,2947900
2015-05-27,13.800006,14.400005,13.800006,14.400005,14.400005,4112800
2015-05-28,14.640006,14.760006,14.040006,14.640006,14.640006,3294700
2015-05-29,14.760006,14.880006,14.520006,14.760006,14.760006,1888900
2015-06-01,14.760006,14.760006,14.160006,14.160006,14.160006,1939000
2015-06-02,14.280005,15.000006,14.160006,14.760006,14.760006,2895800
2015-06-03,14.880006,14.880006,14.400005,14.760006,14.760006,2191500
2015-06-04,14.760006,14.880006,14.520006,14.640006,14.640006,1277200
2015-06-05,14.640006,14.760006,14.280005,14.640006,14.640006,1478500
2015-06-08,14.880006,14.880006,14.400005,14.520006,14.520006,2924100
2015-06-09,13.200006,14.040006,12.960005,13.800006,13.800006,5930200
2015-06-10,13.800006,13.920006,13.320005,13.440005,13.440005,3372400
2015-06-11,13.320005,13.440005,13.080006,13.320005,13.320005,3184400
2015-06-12,13.200006,13.320005,13.080006,13.200006,13.200006,2338200
2015-06-15,13.200006,13.200006,12.840005,12.960005,12.960005,2084400
2015-06-16,12.720005,12.840005,12.360005,12.600005,12.600005,4952700
2015-06-17,12.480005,12.720005,12.480005,12.720005,12.720005,1297500
2015-06-18,12.600005,12.960005,12.600005,12.840005,12.840005,1944900
2015-06-19,12.960005,12.960005,12.360005,12.360005,12.360005,3369200
2015-06-22,12.240005,12.480005,11.400004,11.400004,11.400004,7905100
2015-06-23,11.400004,11.640005,10.320004,11.520004,11.520004,8333000
2015-06-24,11.400004,11.640005,11.040005,11.400004,11.400004,2300300
2015-06-25,11.520004,12.120005,11.280005,12.000005,12.000005,2976300
2015-06-26,11.880005,12.720005,11.880005,12.360005,12.360005,5769200
2015-06-29,12.120005,12.600005,11.400004,12.120005,12.120005,5191200
2015-06-30,12.000005,12.360005,11.640005,11.760005,11.760005,2201900
2015-07-01,11.520004,12.240005,11.040005,11.160005,11.160005,2867900
2015-07-02,11.280005,11.520004,10.560004,10.920005,10.920005,3856100
2015-07-06,10.800004,11.160005,10.440004,10.800004,10.800004,3039300
2015-07-07,11.040005,11.160005,10.680004,11.040005,11.040005,2384200
2015-07-08,11.040005,11.160005,10.800004,10.920005,10.920005,1971300
2015-07-09,10.800004,11.280005,10.680004,10.800004,10.800004,2313400
2015-07-10,10.920005,11.160005,10.560004,10.560004,10.560004,2637400
2015-07-13,10.560004,11.280005,10.560004,10.920005,10.920005,3755000
2015-07-14,10.800004,11.400004,10.800004,11.160005,11.160005,1515400
2015-07-15,11.280005,11.280005,10.800004,10.920005,10.920005,1223900
2015-07-16,11.040005,11.280005,10.920005,11.040005,11.040005,1349800
2015-07-17,10.920005,11.160005,10.800004,11.040005,11.040005,1332300
2015-07-20,11.160005,11.160005,10.680004,10.800004,10.800004,2562900
2015-07-21,10.920005,11.040005,10.680004,10.680004,10.680004,1108900
2015-07-22,10.680004,10.800004,10.560004,10.680004,10.680004,1161200
2015-07-23,10.800004,10.800004,10.440004,10.440004,10.440004,1742200
2015-07-24,10.320004,10.560004,9.840004,10.080004,10.080004,2539400
2015-07-27,10.080004,10.200004,9.720004,9.840004,9.840004,1559600
2015-07-28,9.720004,10.440004,9.720004,10.200004,10.200004,1402200
2015-07-29,10.080004,10.680004,10.080004,10.680004,10.680004,1680300
2015-07-30,10.800004,11.160005,10.080004,10.080004,10.080004,1585400
2015-07-31,10.080004,10.560004,9.960004,10.080004,10.080004,1389200
2015-08-03,9.840004,10.200004,9.720004,9.720004,9.720004,2059300
2015-08-04,9.840004,10.200004,9.360003,9.600004,9.600004,2323100
2015-08-05,9.480003,9.960004,9.000004,9.120004,9.120004,3306300
2015-08-06,9.000004,9.360003,8.400003,8.760003,8.760003,2582600
2015-08-07,8.760003,9.000004,8.160004,8.280004,8.280004,2627200
2015-08-10,8.640003,10.680004,8.640003,10.680004,10.680004,5481700
2015-08-11,10.440004,10.560004,9.600004,9.960004,9.960004,1846100
2015-08-12,9.600000,10.080000,9.360000,10.080000,10.080000,126700
2015-08-13,9.840000,10.320000,9.600000,9.720000,9.720000,39500
2015-08-14,9.600004,10.080004,9.600004,9.720004,9.720004,688700
2015-08-17,9.720004,9.960004,9.480003,9.600004,9.600004,731700
2015-08-18,9.360003,10.080004,9.240004,9.960004,9.960004,713300
2015-08-19,9.960004,10.200004,9.600004,9.840004,9.840004,1198800
2015-08-20,9.840004,9.960004,9.240004,9.360003,9.360003,1175800
2015-08-21,9.120004,9.360003,8.520003,8.880004,8.880004,1941700
2015-08-24,7.800003,8.760003,7.680003,8.400003,8.400003,1829700
2015-08-25,9.000004,9.360003,8.640003,8.880004,8.880004,2060100
2015-08-26,8.880004,9.480003,8.520003,8.760003,8.760003,934100
2015-08-27,8.880004,9.000004,8.400003,8.880004,8.880004,1648900
2015-08-28,8.760003,9.840004,8.760003,9.600004,9.600004,2178000
2015-08-31,9.720004,9.960004,9.480003,9.960004,9.960004,1010500
2015-09-01,10.200000,11.400000,10.080000,10.080000,10.080000,339600
2015-09-02,10.200000,10.560000,9.720000,10.560000,10.560000,110400
2015-09-03,10.800000,11.040000,10.200000,10.320000,10.320000,97000
2015-09-04,10.200004,10.920005,10.200004,10.920005,10.920005,920600
2015-09-08,11.160005,11.160005,10.680004,10.800004,10.800004,1686600
2015-09-09,10.920005,11.760005,10.680004,11.160005,11.160005,3162000
2015-09-10,11.160000,12.000000,10.800000,11.520000,11.520000,184600
2015-09-11,11.640000,11.640000,11.040000,11.280000,11.280000,122900
2015-09-14,11.400004,11.520004,10.680004,11.040005,11.040005,1454300
2015-09-15,11.040005,11.040005,10.680004,10.920005,10.920005,1062400
2015-09-16,10.920000,11.280000,10.560000,11.160000,11.160000,116800
2015-09-17,11.280005,11.280005,10.800004,11.040005,11.040005,1049100
2015-09-18,11.040005,11.280005,10.320004,10.320004,10.320004,1714800
2015-09-21,10.560004,10.800004,10.200004,10.200004,10.200004,1554700
2015-09-22,10.320004,10.320004,9.600004,9.840004,9.840004,1665500
2015-09-23,10.080004,10.080004,9.000004,9.240004,9.240004,2094200
2015-09-24,9.240004,9.240004,8.640003,8.760003,8.760003,2356600
2015-09-25,9.000004,9.240004,8.280004,8.400003,8.400003,2539100
2015-09-28,8.400003,9.120004,8.280004,8.880004,8.880004,2362000
2015-09-29,9.000004,9.120004,8.040003,8.040003,8.040003,5463700
2015-09-30,8.280004,8.880004,8.160004,8.880004,8.880004,1757400
2015-10-01,8.880000,9.120000,8.400000,8.520000,8.520000,94300
2015-10-02,8.520000,8.760000,8.280000,8.760000,8.760000,102200
2015-10-05,9.000000,10.080000,9.000000,10.080000,10.080000,307400
2015-10-06,10.080000,10.680000,9.720000,10.320000,10.320000,241800
2015-10-07,10.440000,11.400000,10.200000,11.280000,11.280000,391700
2015-10-08,11.400000,11.400000,10.800000,11.040000,11.040000,164400
2015-10-09,11.040000,11.400000,11.040000,11.040000,11.040000,167000
2015-10-12,10.920000,11.280000,10.440000,10.560000,10.560000,125500
2015-10-13,10.320000,10.680000,9.960000,10.200000,10.200000,110500
2015-10-14,10.200000,10.560000,10.080000,10.320000,10.320000,103600
2015-10-15,10.560000,10.800000,10.440000,10.800000,10.800000,90600
2015-10-16,10.920000,11.280000,10.560000,10.680000,10.680000,157700
2015-10-19,10.560000,10.680000,10.200000,10.440000,10.440000,105700
2015-10-20,10.320000,10.440000,9.960000,9.960000,9.960000,121000
2015-10-21,10.080000,10.080000,9.600000,9.600000,9.600000,101000
2015-10-22,9.600000,10.320000,9.480000,10.200000,10.200000,120200
2015-10-23,10.200004,10.320004,9.840004,9.960004,9.960004,1014100
2015-10-26,9.960004,10.200004,9.840004,9.960004,9.960004,900700
2015-10-27,9.840004,9.960004,9.240004,9.360003,9.360003,3318900
2015-10-28,10.080004,10.440004,9.840004,10.320004,10.320004,1948600
2015-10-29,10.320004,10.440004,9.960004,9.960004,9.960004,806300
2015-10-30,10.080000,10.680000,9.720000,10.560000,10.560000,167500
2015-11-02,10.800000,11.400000,10.680000,10.920000,10.920000,260700
2015-11-03,11.040005,11.760005,11.040005,11.280005,11.280005,3716900
2015-11-04,11.760005,12.240005,11.160005,11.520004,11.520004,2472100
2015-11-05,11.520000,11.760000,10.920000,10.920000,10.920000,101100
2015-11-06,11.040000,11.280000,10.440000,11.280000,11.280000,151300
2015-11-09,11.280000,11.400000,10.440000,10.680000,10.680000,146100
2015-11-10,10.680000,10.920000,9.720000,10.080000,10.080000,140100
2015-11-11,10.440000,10.440000,9.720000,9.960000,9.960000,115300
2015-11-12,10.080000,10.080000,9.720000,9.720000,9.720000,105200
2015-11-13,9.720000,10.080000,9.600000,9.720000,9.720000,82100
2015-11-16,9.840000,10.200000,9.480000,9.600000,9.600000,145200
2015-11-17,9.720000,9.960000,9.240000,9.240000,9.240000,125800
2015-11-18,9.240000,9.480000,9.000000,9.360000,9.360000,171100
2015-11-19,9.360000,9.480000,9.000000,9.120000,9.120000,133600
2015-11-20,9.480000,9.720000,9.240000,9.480000,9.480000,239100
2015-11-23,9.600000,9.960000,9.360000,9.720000,9.720000,107100
2015-11-24,9.720000,10.200000,9.720000,10.200000,10.200000,67600
2015-11-25,10.320000,10.440000,10.080000,10.080000,10.080000,85400
2015-11-27,9.720000,10.320000,9.600000,10.200000,10.200000,54700
2015-11-30,10.320000,10.680000,10.200000,10.320000,10.320000,154600
2015-12-01,10.440000,10.560000,10.200000,10.440000,10.440000,77600
2015-12-02,10.680000,10.680000,10.200000,10.440000,10.440000,75300
2015-12-03,10.320000,10.680000,9.840000,9.840000,9.840000,151800
2015-12-04,9.370000,9.490000,7.800000,8.050000,8.050000,987200
2015-12-07,8.090000,8.100000,7.800000,7.860000,7.860000,404900
2015-12-08,7.580000,7.750000,6.120000,6.700000,6.700000,1555800
2015-12-09,6.510000,7.350000,6.380000,7.060000,7.060000,847000
2015-12-10,6.880000,7.060000,6.720000,6.840000,6.840000,431500
2015-12-11,6.800000,6.800000,6.400000,6.480000,6.480000,503500
2015-12-14,6.490000,6.870000,6.340000,6.380000,6.380000,416900
2015-12-15,6.410000,6.550000,5.510000,5.540000,5.540000,1334200
2015-12-16,5.600000,6.000000,5.370000,5.460000,5.460000,958400
2015-12-17,5.450000,5.820000,5.230000,5.690000,5.690000,656500
2015-12-18,5.740000,5.830000,5.460000,5.550000,5.550000,717200
2015-12-21,5.650000,5.800000,5.390000,5.630000,5.630000,603500
2015-12-22,5.680000,5.700000,5.430000,5.490000,5.490000,341300
2015-12-23,5.520000,5.700000,5.460000,5.510000,5.510000,453600
2015-12-24,5.460000,5.610000,5.300000,5.480000,5.480000,457800
2015-12-28,5.400000,5.480000,5.250000,5.270000,5.270000,455200
2015-12-29,5.300000,5.460000,5.090000,5.230000,5.230000,478100
2015-12-30,5.160000,5.360000,5.060000,5.130000,5.130000,483800
2015-12-31,5.070000,5.100000,4.900000,4.960000,4.960000,748200
2016-01-04,5.500000,5.750000,5.040000,5.580000,5.580000,2192300
2016-01-05,5.700000,6.180000,5.700000,5.880000,5.880000,1883400
2016-01-06,5.940000,6.320000,5.920000,6.170000,6.170000,877800
2016-01-07,6.030000,6.030000,5.250000,5.320000,5.320000,913800
2016-01-08,6.300000,7.050000,5.990000,6.160000,6.160000,3076700
2016-01-11,6.670000,6.740000,5.760000,5.880000,5.880000,1345900
2016-01-12,5.900000,6.100000,5.350000,5.500000,5.500000,987900
2016-01-13,5.600000,5.700000,5.050000,5.200000,5.200000,840800
2016-01-14,5.200000,5.320000,4.900000,5.120000,5.120000,804200
2016-01-15,4.850000,5.050000,4.680000,4.930000,4.930000,779500
2016-01-19,5.010000,5.380000,4.710000,4.950000,4.950000,627800
2016-01-20,4.860000,5.000000,4.510000,4.920000,4.920000,714400
